CustomerID,Age,Gender,Location,ProductType,PurchaseCount,TotalSpend,AveragePurchaseValue,EngagementScore,FollowDuration,PreferredChannel,CustomerCost,CustomerProfitabilityScore,ROAS,ROI,RFMScore,AverageRFM,Persona,OperatingExpenses,AdditionalCosts,GrossProfit,GrossProfitMargin,OperatingProfit,OperatingProfitMargin,NetProfit,NetProfitMargin,CLTV,LastPurchaseDate,SubscriptionStartDate,SubscriptionEndDate,IsActive,MarketingSpend,ProductCost,SalesRevenue,CustomerAcquisitionDate,CustomerExitDate,CustomerRetentionPeriod,CPA,NumberOfTransactions,CompletionRate
1,56,Male,North America,Bracelet,9,737,81.88888889,2.079019841,24,Facebook,468.5,268.5,7.37,0.573105656,152,2.666666667,Engaged,147.4,73.7,368.5,50,221.1,30,147.4,20,2211,21/07/2022,21/06/2022,,TRUE,85.05205343,368.5,737,22/07/2020,,24.3,85.05205343,9,0.6
2,46,Female,Middle East,Ring,3,334,111.3333333,7.614332627,18,Facebook,267,67,3.34,0.25093633,221,1.666666667,Standard,66.8,33.4,167,50,100.2,30,66.8,20,1002,19/06/2023,26/04/2022,,TRUE,87.25332738,167,334,23/06/2021,,24.2,87.25332738,3,0.6
3,32,Male,Asia,Ring,1,515,515,5.783094228,10,Facebook,357.5,157.5,5.15,0.440559441,412,2.333333333,Engaged,103,51.5,257.5,50,154.5,30,103,20,1545,05/01/2023,18/04/2022,,TRUE,56.87136777,257.5,515,29/08/2021,,16.46666667,56.87136777,1,0.6
4,60,Other,North America,Bracelet,7,1037,148.1428571,3.591508084,7,LinkedIn,618.5,418.5,10.37,0.676637025,443,3.666666667,Engaged,207.4,103.7,518.5,50,311.1,30,207.4,20,3111,25/07/2022,30/08/2022,,TRUE,86.95741994,518.5,1037,27/05/2022,,1.966666667,86.95741994,7,0.6
5,25,Male,Europe,Ring,5,598,119.6,5.435376261,8,Facebook,399,199,5.98,0.498746867,432,3,Engaged,119.6,59.8,299,50,179.4,30,119.6,20,1794,20/06/2022,08/09/2022,27/05/2023,FALSE,96.42385197,299,598,24/04/2022,27/05/2023,1.9,96.42385197,5,0.6
6,38,Male,Middle East,Earrings,5,1073,214.6,3.699478628,6,Facebook,636.5,436.5,10.73,0.685781618,533,3.666666667,Engaged,214.6,107.3,536.5,50,321.9,30,214.6,20,3219,10/03/2024,17/05/2022,23/10/2022,FALSE,122.2737752,536.5,1073,24/07/2021,23/10/2022,32,122.2737752,5,0.6
7,56,Male,North America,Earrings,1,733,733,6.364737597,22,Facebook,466.5,266.5,7.33,0.571275456,112,1.333333333,Standard,146.6,73.3,366.5,50,219.9,30,146.6,20,2199,30/04/2022,19/09/2022,,TRUE,115.6729485,366.5,733,11/01/2022,,3.633333333,115.6729485,1,0.6
8,36,Male,Asia,Bracelet,9,1773,197,4.904595306,1,LinkedIn,986.5,786.5,17.73,0.797263051,555,5,Premium,354.6,177.3,886.5,50,531.9,30,354.6,20,5319,15/12/2023,12/07/2022,,TRUE,120.8765655,886.5,1773,30/12/2020,,36,120.8765655,9,0.6
9,40,Other,North America,Necklace,7,1119,159.8571429,2.479649762,4,Facebook,659.5,459.5,11.19,0.696739955,543,4,Premium,223.8,111.9,559.5,50,335.7,30,223.8,20,3357,09/08/2022,13/07/2022,28/10/2023,FALSE,50.83636819,559.5,1119,16/03/2022,28/10/2023,4.866666667,50.83636819,7,0.6
10,28,Other,Asia,Earrings,8,214,26.75,2.049247671,14,Facebook,207,7,2.14,0.033816425,341,2.666666667,Engaged,42.8,21.4,107,50,64.2,30,42.8,20,642,20/07/2023,28/05/2022,,TRUE,71.76673996,107,214,05/06/2020,,38,71.76673996,8,0.6
